id,latitude,longitude,name
ASN00005023,-22.6217,119.9564,"ROY HILL"
ASN00005028,-22.6906,116.2328,"WYLOO"
ASN00005029,-21.6767,116.3928,"YALLEEN"
ASN00005032,-21.5703,115.8786,"YARRALOOLA"
ASN00005034,-22.4558,116.0508,"MOUNT STUART"
ASN00005036,-22.9367,115.9825,"GLEN FLORRIE STATION"
ASN00005040,-21.1594,116.1197,"BALMORAL"
ASN00005051,-21.9303,114.1256,"EXMOUTH TOWN"
ASN00005061,-20.7278,116.7483,"DAMPIER SALT"
ASN00005066,-22.7817,115.3706,"UAROO"
ASN00005069,-21.6392,116.3308,"PANNAWONICA"
ASN00005070,-21.3567,115.8208,"ROBE"
ASN00005071,-21.3444,115.9356,"PINDRAL OUTCAMP"
ASN00005078,-21.7672,114.8211,"URALA"
ASN00005082,-21.0544,116.2575,"ERAMURRA POOL"
ASN00005084,-21.4606,115.0197,"THEVENARD ISLAND"
ASN00005088,-21.2475,116.0733,"MULYERING"
ASN00005094,-20.8750,115.4056,"BARROW ISLAND AIRPORT"
ASN00005095,-22.9367,116.9731,"CHEELA PLAINS"
ASN00006005,-24.8208,113.7853,"BRICKHOUSE"
ASN00006008,-25.0481,114.0294,"CALLAGIDDY STATION"
ASN00006010,-25.6114,115.4625,"CAREY DOWNS"
ASN00006011,-24.8878,113.6700,"CARNARVON AIRPORT"
ASN00006017,-25.2786,115.8633,"DAIRY CREEK"
ASN00006019,-24.8061,114.4322,"DOORAWARRAH"
ASN00006020,-25.3600,114.2292,"EDAGGEE"
ASN00006023,-23.8222,113.5256,"GNARALOO"
ASN00006027,-25.0442,115.1331,"JIMBA JIMBA"
ASN00006033,-23.4789,115.5481,"MAROONAH"
ASN00006034,-25.3656,114.3594,"MARRON"
ASN00006038,-23.3817,114.4375,"MIA MIA"
ASN00006040,-24.0306,115.6967,"MINNIE CREEK"
ASN00006044,-25.9261,113.5319,"DENHAM"
ASN00006045,-26.6969,113.7158,"TAMALA"
ASN00006052,-23.8608,115.1475,"WILLIAMBURY"
ASN00006055,-27.7458,115.8286,"WOOLGORONG"
ASN00006058,-27.4278,115.5147,"YALLALONG"
ASN00006059,-25.9436,114.3222,"YARINGA STATION"
ASN00006069,-26.5903,115.9267,"MOUNT NARRYER"
ASN00006070,-24.3058,114.5003,"HILL SPRINGS"
ASN00006072,-23.0314,115.0414,"EMU CREEK STATION"
ASN00006084,-23.4853,113.7811,"WARROORA"
ASN00006095,-24.3967,113.4056,"QUOBBA"
ASN00006097,-26.1203,113.3975,"USELESS LOOP"
ASN00006099,-26.8936,115.9561,"MURCHISON"
ASN00006102,-26.1764,113.2150,"STEEP POINT"
